Respondent_ID,Name,Age,Gender,City_ID,Age_group
120031,Aniruddh Issac,15-18,Female,CT117,15-30
120032,Trisha Rout,19-30,Male,CT118,15-30
120033,Yuvraj  Virk,15-18,Male,CT116,15-30
120034,Pranay Chand,31-45,Female,CT113,31-45
120035,Mohanlal Joshi,19-30,Female,CT120,15-30
120036,Zeeshan Ratta,19-30,Female,CT118,15-30
120037,Oorja Anne,19-30,Male,CT112,15-30
120038,Rhea Khanna,19-30,Male,CT116,15-30
120039,Zara Joshi,46-65,Male,CT116,46+
120040,Sana Dhawan,19-30,Female,CT116,15-30
120041,Misha Warrior,19-30,Female,CT113,15-30
120042,Kiara Chander,19-30,Female,CT112,15-30
120043,Kimaya Borde,19-30,Male,CT113,15-30
120044,Tushar Malhotra,19-30,Male,CT112,15-30
120045,Azad Gera,65+,Male,CT113,46+
120046,Aarav Bath,19-30,Male,CT114,15-30
120047,Ojas Char,19-30,Male,CT112,15-30
120048,Advik Baria,19-30,Male,CT116,15-30
120049,Dhruv Loyal,19-30,Female,CT113,15-30
120050,Dharmajan Doshi,31-45,Female,CT114,31-45
120051,Diya Srinivas,19-30,Male,CT118,15-30
120052,Alia Lala,31-45,Non-binary,CT112,31-45
120053,Samaira Lad,19-30,Male,CT112,15-30
120054,Pari Subramaniam,19-30,Male,CT114,15-30
120055,Umang Sarkar,31-45,Non-binary,CT117,31-45
120056,Rhea Kar,19-30,Male,CT118,15-30
120057,Kanav Thaman,19-30,Male,CT117,15-30
120058,Biju Bera,19-30,Female,CT119,15-30
120059,Sana Bumb,19-30,Male,CT113,15-30
120060,Piya Sani,19-30,Male,CT118,15-30
120061,Yuvaan Kari,19-30,Male,CT116,15-30
120062,Tanya Deshmukh,19-30,Male,CT116,15-30
120063,Diya Sunder,19-30,Male,CT114,15-30
120064,Shanaya Kadakia,15-18,Male,CT118,15-30
120065,Shamik Chaudry,19-30,Male,CT115,15-30
120066,Yashvi Deo,19-30,Female,CT116,15-30
120067,Eshani Bahl,65+,Male,CT118,46+
120068,Anahi Ganguly,15-18,Female,CT116,15-30
120069,Kismat Lata,19-30,Female,CT112,15-30
120070,Anya Gill,31-45,Male,CT116,31-45
120071,Pranay Tella,15-18,Female,CT113,15-30
120072,Parinaaz Goel,46-65,Non-binary,CT118,46+
120073,Divit Gandhi,19-30,Female,CT116,15-30
120074,Saanvi Reddy,19-30,Female,CT112,15-30
120075,Jhanvi Samra,31-45,Male,CT113,31-45
120076,Ryan Dasgupta,19-30,Male,CT113,15-30
120077,Tarini Acharya,19-30,Male,CT116,15-30
120078,Suhana Ramakrishnan,19-30,Female,CT117,15-30
120079,Heer Suri,31-45,Female,CT113,31-45
120080,Sana Mand,19-30,Male,CT113,15-30
120081,Ishaan Sengupta,19-30,Female,CT120,15-30
120082,Abram Khatri,31-45,Female,CT113,31-45
120083,Anahita Sidhu,31-45,Female,CT113,31-45
120084,Myra Ganesan,15-18,Male,CT112,15-30
120085,Nirvaan Loyal,19-30,Male,CT112,15-30
120086,Veer Brahmbhatt,31-45,Male,CT119,31-45
120087,Kaira Bhardwaj,15-18,Female,CT113,15-30
120088,Heer Ganesan,31-45,Male,CT116,31-45
120089,Lakshit Bassi,15-18,Male,CT116,15-30
120090,Rasha Bhavsar,19-30,Male,CT113,15-30
120091,Advik Ratti,31-45,Female,CT116,31-45
120092,Baiju Sane,19-30,Male,CT113,15-30
120093,Shayak Sane,31-45,Female,CT118,31-45
120094,Armaan Bassi,31-45,Non-binary,CT111,31-45
120095,Darshit Sami,19-30,Male,CT113,15-30
120096,Advika Borah,19-30,Male,CT113,15-30
120097,Sumer Sandal,15-18,Female,CT112,15-30
120098,Saira Sridhar,19-30,Male,CT117,15-30
120099,Ivana Bhatti,15-18,Non-binary,CT118,15-30
120100,Divyansh Bhatt,19-30,Male,CT114,15-30
120101,Rhea Sagar,31-45,Male,CT116,31-45
